Fecha	Nombre de la Campaña	Region	Clicks	Impresiones	Views	Costo
6/3/2024	DesarrolloWebCompleto	Norte	21906	113093	23599	1393
4/5/2024	AprendeCSharpFacil	Oeste	44722	341014	17356	1951
8/12/2023	CodigoFacilitoEnEspanol	Este	33623	366426	16713	584
8/11/2023	AprendeCSharpFacil	Sur	23394	292667	46758	847
1/11/2024	AprendeCSharpFacil	Este	47248	417848	36079	981
7/27/2024	MasterEnPython	Sur	29329	66198	33717	208
7/26/2024	CursoDeJavaAvanzado	Este	36452	292374	47511	1576
6/7/2024	DesarrolloWebCompleto	Sur	49687	408236	25254	1545
11/12/2023	DesarrolloWebCompleto	Sur	46365	314982	32968	836
9/30/2023	AprendePythonFacil	Oeste	14847	406979	14078	1187
10/13/2023	AprendeJavaScriptYA	Este	7878	255064	11400	364
7/26/2024	ProgramacionParaTodos	Norte	31633	165073	10331	1420
4/10/2024	CursoDeJavaAvanzado	Este	34990	484035	13730	822
4/13/2024	MasterEnPython	Sur	20964	109380	10305	1598
9/17/2023	AprendeJavaScriptYA	Este	6721	176368	38856	1308
7/13/2024	ProgramacionParaTodos	Norte	43958	88643	16279	1521
1/15/2024	AprendeJavaScriptYA	Oeste	23827	205654	40751	302
1/27/2024	ProgramacionParaTodos	Oeste	32453	380833	8685	136
4/17/2024	ProgramacionParaTodos	Norte	43227	390643	46773	999
3/17/2024	DesarrolloWebCompleto	Norte	12545	132695	30321	1536
6/7/2024	ProgramacionParaTodos	Sur	48479	131800	29453	1587
10/23/2023	ProgramacionParaTodos	Sur	14667	228155	26309	1643
4/30/2024	CodigoFacilitoEnEspanol	Este	24597	214338	21195	1412
12/7/2023	AprendeJavaScriptYA	Sur	6044	384759	9353	885
7/12/2024	AprendePythonFacil	Norte	6037	460866	12149	755
8/31/2023	AprendePythonFacil	Oeste	46254	327643	35734	570
2/18/2024	CursosDeProgramacion	Oeste	46694	272020	16811	425
3/24/2024	CursoDeJavaAvanzado	Oeste	13356	239929	17567	1996
9/3/2023	AprendeJavaScriptYA	Este	19381	32705	49094	932
12/26/2023	CursoDeJavaAvanzado	Norte	37609	63950	49140	481
2/8/2024	AprendePythonFacil	Este	49303	341125	29011	451
9/28/2023	MasterEnPython	Este	31795	308580	31641	1173
5/23/2024	CursoDeJavaAvanzado	Oeste	15290	89149	25953	1350
10/18/2023	AprendePythonFacil	Norte	18337	410341	23281	1286
2/3/2024	DesarrolloWebCompleto	Este	24010	129296	5181	1314
8/28/2023	CursoDeJavaAvanzado	Sur	21206	436184	39573	1139
3/6/2024	CursosDeProgramacion	Norte	18367	217588	39383	1149
7/23/2024	DesarrolloWebCompleto	Norte	45890	247136	15687	805
5/23/2024	ProgramacionParaTodos	Oeste	42290	460482	6989	1905
5/4/2024	CursoDeJavaAvanzado	Oeste	29135	442504	12768	1082
1/29/2024	CursosDeProgramacion	Norte	9961	44901	26339	509
